Vehicle Type,Category,Subcategory,Item Name,Part Type,Compatible Brands,Spare Part Brand,OEM/Aftermarket,SKU Code,Unit,Estimated Price (INR),Supplier Type,Warranty (Months),Service Time (Min),Stock Status,Remarks
Car,Engine,Filtration,Oil Filter,Replacement,Hyundai,Bosch,Aftermarket,SKU-0081,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Hyundai,Castrol,OEM,SKU-0082,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Hyundai,Shell,Aftermarket,SKU-0083,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Hyundai,Mobil,OEM,SKU-0084,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Hyundai,Brembo,Aftermarket,SKU-0085,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Hyundai,Bosch,OEM,SKU-0086,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Hyundai,Castrol,Aftermarket,SKU-0087,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Hyundai,Shell,OEM,SKU-0088,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Hyundai,Mobil,Aftermarket,SKU-0089,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Hyundai,Brembo,OEM,SKU-0090,Piece,200,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Hyundai,Bosch,Aftermarket,SKU-0091,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Hyundai,Castrol,OEM,SKU-0092,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Hyundai,Shell,Aftermarket,SKU-0093,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Hyundai,Mobil,OEM,SKU-0094,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Hyundai,Brembo,Aftermarket,SKU-0095,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Hyundai,Bosch,OEM,SKU-0096,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Hyundai,Castrol,Aftermarket,SKU-0097,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Hyundai,Shell,OEM,SKU-0098,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Hyundai,Mobil,Aftermarket,SKU-0099,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Hyundai,Brembo,OEM,SKU-0100,Piece,4000,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Hyundai,Bosch,Aftermarket,SKU-0101,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Hyundai,Castrol,OEM,SKU-0102,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Hyundai,Shell,Aftermarket,SKU-0103,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Hyundai,Mobil,OEM,SKU-0104,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Hyundai,Brembo,Aftermarket,SKU-0105,Piece,3500,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Hyundai,Bosch,OEM,SKU-0106,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Hyundai,Castrol,Aftermarket,SKU-0107,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Hyundai,Shell,OEM,SKU-0108,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Hyundai,Mobil,Aftermarket,SKU-0109,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Hyundai,Brembo,OEM,SKU-0110,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Hyundai,Bosch,Aftermarket,SKU-0111,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Hyundai,Castrol,OEM,SKU-0112,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Hyundai,Shell,Aftermarket,SKU-0113,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Hyundai,Mobil,OEM,SKU-0114,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Hyundai,Brembo,Aftermarket,SKU-0115,Piece,1500,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Hyundai,Bosch,OEM,SKU-0116,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Hyundai,Castrol,Aftermarket,SKU-0117,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Hyundai,Shell,OEM,SKU-0118,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Hyundai,Mobil,Aftermarket,SKU-0119,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Hyundai,Brembo,OEM,SKU-0120,Piece,7000,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Hyundai,Bosch,Aftermarket,SKU-0121,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Hyundai,Castrol,OEM,SKU-0122,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Hyundai,Shell,Aftermarket,SKU-0123,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Hyundai,Mobil,OEM,SKU-0124,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Hyundai,Brembo,Aftermarket,SKU-0125,Piece,3500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Hyundai,Bosch,OEM,SKU-0126,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Hyundai,Castrol,Aftermarket,SKU-0127,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Hyundai,Shell,OEM,SKU-0128,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Hyundai,Mobil,Aftermarket,SKU-0129,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Hyundai,Brembo,OEM,SKU-0130,Piece,4500,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Hyundai,Bosch,Aftermarket,SKU-0131,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Hyundai,Castrol,OEM,SKU-0132,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Hyundai,Shell,Aftermarket,SKU-0133,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Hyundai,Mobil,OEM,SKU-0134,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Hyundai,Brembo,Aftermarket,SKU-0135,Piece,1200,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Hyundai,Bosch,OEM,SKU-0136,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Hyundai,Castrol,Aftermarket,SKU-0137,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Hyundai,Shell,OEM,SKU-0138,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Hyundai,Mobil,Aftermarket,SKU-0139,Piece,2000,Distributor,6,30,In Stock,
Car,Interior,Seats,Seat Cover,Accessory,Hyundai,Brembo,OEM,SKU-0140,Piece,2000,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Tata,Bosch,Aftermarket,SKU-0141,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Tata,Castrol,OEM,SKU-0142,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Tata,Shell,Aftermarket,SKU-0143,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Tata,Mobil,OEM,SKU-0144,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Lubrication,Engine Oil,Consumable,Tata,Brembo,Aftermarket,SKU-0145,Piece,800,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Tata,Bosch,OEM,SKU-0146,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Tata,Castrol,Aftermarket,SKU-0147,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Tata,Shell,OEM,SKU-0148,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Tata,Mobil,Aftermarket,SKU-0149,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Air Filter,Replacement,Tata,Brembo,OEM,SKU-0150,Piece,400,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Tata,Bosch,Aftermarket,SKU-0151,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Tata,Castrol,OEM,SKU-0152,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Tata,Shell,Aftermarket,SKU-0153,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Tata,Mobil,OEM,SKU-0154,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Filtration,Oil Filter,Replacement,Tata,Brembo,Aftermarket,SKU-0155,Piece,300,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Tata,Bosch,OEM,SKU-0156,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Tata,Castrol,Aftermarket,SKU-0157,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Tata,Shell,OEM,SKU-0158,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Tata,Mobil,Aftermarket,SKU-0159,Piece,200,Distributor,6,30,In Stock,
Car,Engine,Ignition,Spark Plug,Replacement,Tata,Brembo,OEM,SKU-0160,Piece,200,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Tata,Bosch,Aftermarket,SKU-0161,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Tata,Castrol,OEM,SKU-0162,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Tata,Shell,Aftermarket,SKU-0163,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Tata,Mobil,OEM,SKU-0164,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Pads,Replacement,Tata,Brembo,Aftermarket,SKU-0165,Piece,2500,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Tata,Bosch,OEM,SKU-0166,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Tata,Castrol,Aftermarket,SKU-0167,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Tata,Shell,OEM,SKU-0168,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Tata,Mobil,Aftermarket,SKU-0169,Piece,4000,Distributor,6,30,In Stock,
Car,Brake,Braking,Brake Disc,Replacement,Tata,Brembo,OEM,SKU-0170,Piece,4000,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Tata,Bosch,Aftermarket,SKU-0171,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Tata,Castrol,OEM,SKU-0172,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Tata,Shell,Aftermarket,SKU-0173,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Tata,Mobil,OEM,SKU-0174,Piece,3500,Distributor,6,30,In Stock,
Car,Suspension,Shockers,Shock Absorber,Replacement,Tata,Brembo,Aftermarket,SKU-0175,Piece,3500,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Tata,Bosch,OEM,SKU-0176,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Tata,Castrol,Aftermarket,SKU-0177,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Tata,Shell,OEM,SKU-0178,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Tata,Mobil,Aftermarket,SKU-0179,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Battery,Battery,Replacement,Tata,Brembo,OEM,SKU-0180,Piece,5000,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Tata,Bosch,Aftermarket,SKU-0181,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Tata,Castrol,OEM,SKU-0182,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Tata,Shell,Aftermarket,SKU-0183,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Tata,Mobil,OEM,SKU-0184,Piece,1500,Distributor,6,30,In Stock,
Car,Electrical,Lighting,Headlight,Replacement,Tata,Brembo,Aftermarket,SKU-0185,Piece,1500,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Tata,Bosch,OEM,SKU-0186,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Tata,Castrol,Aftermarket,SKU-0187,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Tata,Shell,OEM,SKU-0188,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Tata,Mobil,Aftermarket,SKU-0189,Piece,7000,Distributor,6,30,In Stock,
Car,Cooling,Cooling System,Radiator,Replacement,Tata,Brembo,OEM,SKU-0190,Piece,7000,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Tata,Bosch,Aftermarket,SKU-0191,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Tata,Castrol,OEM,SKU-0192,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Tata,Shell,Aftermarket,SKU-0193,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Tata,Mobil,OEM,SKU-0194,Piece,3500,Distributor,6,30,In Stock,
Car,Transmission,Clutch,Clutch Plate,Replacement,Tata,Brembo,Aftermarket,SKU-0195,Piece,3500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Tata,Bosch,OEM,SKU-0196,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Tata,Castrol,Aftermarket,SKU-0197,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Tata,Shell,OEM,SKU-0198,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Tata,Mobil,Aftermarket,SKU-0199,Piece,4500,Distributor,6,30,In Stock,
Car,Tyre,Wheel,Tyre,Replacement,Tata,Brembo,OEM,SKU-0200,Piece,4500,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Tata,Bosch,Aftermarket,SKU-0201,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Tata,Castrol,OEM,SKU-0202,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Tata,Shell,Aftermarket,SKU-0203,Piece,1200,Distributor,6,30,In Stock,
Car,Body,Exterior,Side Mirror,Replacement,Tata,Mobil,OEM,SKU-0204,Piece,1200,Distributor,6,30,In Stock,
